substituted,parent,source,mapping,Natoms,cvp-ionic Vi,no scaled Vi,vp Vi,cvp-atomic Vi,cvp-ionic Vf,no scaled Vf,vp Vf,cvp-atomic Vf,first cvp-ionic CPU time (s),first no scaled CPU time (s),first vp CPU time (s),first cvp-atomic CPU time (s),second cvp-ionic CPU time (s),second no scaled CPU time (s),second vp CPU time (s),second cvp-atomic CPU time (s),total cvp-ionic CPU time (s),total no scaled CPU time (s),total vp CPU time (s),total cvp-atomic CPU time (s),E cvp-ionic (eV/atom),E no scaled (eV/atom),E vp (eV/atom),E cvp-atomic (eV/atom)
CaY2(SiO4)2,Nd2Cu(GeO4)2,icsd-81073,"{'Ge4+': 'Si4+', 'Cu2+': 'Ca2+', 'Nd3+': 'Y3+'}",26,329.291961,329.0059194,685.3515053,360.2185179,315.7051305,314.750365,315.036908,314.9296544,2889.857,3712.996,9367.793,3925.659,537.872,624.502,612.235,587.933,3427.729,4337.498,9980.028,4513.592,-8.14645469,-8.14651739,-8.14611453,-8.14662816
Ca2MgB4O9,Rb2GeB4O9,icsd-261333,"{'Ge4+': 'Mg2+', 'Rb+': 'Ca2+'}",64,683.3527848,869.3221438,1576.989779,710.4414148,708.7640464,712.6200074,714.3675759,709.815556,8546.198,6673.157,14733.763,9160.485,447.316,486.124,545.112,439.512,8993.514,7159.281,15278.875,9599.997,-7.418654801,-7.394696178,-7.399688115,-7.421183711
Ba3Mg3(PO4)4,Rb3Pr3(PS4)4,icsd-414012,"{'Pr3+': 'Mg2+', 'Rb+': 'Ba2+', 'S2-': 'O2-'}",52,736.1218812,1389.668891,822.2615265,774.0974561,757.7114437,754.6633351,752.4224867,761.2083088,7344.462,16750.223,9492.663,6690.393,813.994,972.502,981.675,1615.241,8158.456,17722.725,10474.338,8305.634,-6.981912304,-6.975918421,-6.976264915,-6.982016414
BaLi(BO2)3,RbCd(BO2)3,icsd-191227,"{'Cd2+': 'Li+', 'Rb+': 'Ba2+'}",44,488.7253028,595.8597407,939.9055893,513.6857265,566.1631494,580.6223377,561.8966958,568.5137909,2365.24,3879.453,4972.279,3219.948,429.348,458.372,398.291,429.504,2794.588,4337.825,5370.57,3649.452,-7.393078909,-7.401716217,-7.393625835,-7.399652436
SrMgP2O7,RbFeSe2O7,icsd-90415,"{'Se6+': 'P5+', 'Rb+': 'Sr2+', 'Fe3+': 'Mg2+'}",22,284.5870816,339.0702614,440.3252456,273.4659647,311.409751,309.4790871,310.2671583,308.7684229,1255.368,1639.253,2420.753,1734.765,195.726,427.949,175.554,234.799,1451.094,2067.202,2596.307,1969.564,-6.778602841,-6.779902029,-6.778905609,-6.77882156
BaMgAl2O5,RbNaSi2O5,icsd-92534,"{'Rb+': 'Ba2+', 'Na+': 'Mg2+', 'Si4+': 'Al3+'}",36,431.7973951,508.4855557,917.2080004,439.5568071,505.6506261,509.0512401,508.2818785,506.8674138,1696.385,2309.013,4046.461,1893.073,253.738,228.672,227.814,252.012,1950.123,2537.685,4274.275,2145.085,-6.892264699,-6.895073221,-6.894809635,-6.894667781
Ge3N4,Si3N4,mp-988,{'Si': 'Ge'},14,179.6783321,148.6488343,170.5185045,188.6237732,178.5372295,178.4348693,178.2043301,178.6256512,134.339,160.163,170.312,134.818,144.224,119.774,113.023,106.333,278.563,279.937,283.335,241.151,-6.783652812,-6.783891888,-6.783801281,-6.783511991
Si3N4,Sn3N4,mp-16031,{'Sn': 'Si'},14,127.0922523,191.0414081,89.99405308,112.5724519,117.9345093,117.989896,118.0277774,117.8796782,104.714,157.806,152.755,68.827,55.771,60.696,62.694,60.833,160.485,218.502,215.449,129.66,-8.03487737,-8.034908351,-8.034837271,-8.034858044
BaMgB2O5,SrCdB2O5,icsd-186699,"{'Cd2+': 'Mg2+', 'Sr2+': 'Ba2+'}",72,851.405372,882.2932122,1247.055567,930.0010762,879.3458941,876.5565992,879.3867448,880.9120234,700.615,637.456,1307.325,677.594,173.923,164.669,161.213,173.618,874.538,802.125,1468.538,851.212,-7.285695499,-7.285409281,-7.286386152,-7.28531386
SrMgP2O7,V2ZnPbO7,icsd-39418,"{'Pb2+': 'Sr2+', 'V5+': 'P5+', 'Zn2+': 'Mg2+'}",88,1008.306863,1147.840525,2301.652529,1096.405731,1066.921813,1067.695769,1069.459979,1064.512666,5075.24,8924.04,17213.334,5687.88,554.81,891.738,518.497,681.527,5630.05,9815.778,17731.831,6369.407,-7.075858455,-7.075299481,-7.074752852,-7.074549071
Sr2Mg(PO4)2,Zn2Cu(AsO4)2,icsd-26839,"{'As5+': 'P5+', 'Cu2+': 'Mg2+', 'Zn2+': 'Sr2+'}",13,200.0407965,156.8673169,340.3247455,230.4785185,190.8071715,188.2016812,0,193.9474801,1018.882,751.871,0,1612.954,129.988,144.324,0,112.894,1148.87,896.195,0,1725.848,-7.008275018,-7.003211896,0,-7.020457455
CaMg3Al8O16,ZnFe8Ni3O16,icsd-182239,"{'Zn2+': 'Ca2+', 'Ni2+': 'Mg2+', 'Fe3+': 'Al3+'}",56,606.8744435,585.1842069,1210.929829,673.8410528,558.6016649,558.6366242,559.6551076,558.6106744,3122.427,3089.019,10962.604,4735.304,1046.35,1036.738,1133.542,1067.885,4168.777,4125.757,12096.146,5803.189,-7.078358603,-7.078366614,-7.078457205,-7.078357618
